series_id,entity_id,observed_at,captured_at,metric,value,unit,source_id,raw_ref,parser_version
who.gho.hepatitis-hbv-treatment-perinfected-per100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100:KIR,2025-01-01,2026-09-07T16:03:07Z,restated_at,2026-08-03,,who.gho.hepatitis-hbv-treatment-perinfected-per100,raw/who.gho.hepatitis-hbv-treatment-perinfected-per100/2026/09/20260907T160307Z-a556421de579.json.gz,1
who.gho.hepatitis-hbv-treatment-perinfected-per100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100:KIR,2025-01-01,2026-09-07T16:03:07Z,value,21.96,,who.gho.hepatitis-hbv-treatment-perinfected-per100,raw/who.gho.hepatitis-hbv-treatment-perinfected-per100/2026/09/20260907T160307Z-a556421de579.json.gz,1
who.gho.hepatitis-hbv-treatment-perinfected-per100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100:THA,2025-01-01,2026-09-07T16:03:07Z,restated_at,2026-08-03,,who.gho.hepatitis-hbv-treatment-perinfected-per100,raw/who.gho.hepatitis-hbv-treatment-perinfected-per100/2026/09/20260907T160307Z-a556421de579.json.gz,1
who.gho.hepatitis-hbv-treatment-perinfected-per100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100:THA,2025-01-01,2026-09-07T16:03:07Z,value,3.96,,who.gho.hepatitis-hbv-treatment-perinfected-per100,raw/who.gho.hepatitis-hbv-treatment-perinfected-per100/2026/09/20260907T160307Z-a556421de579.json.gz,1
who.gho.hepatitis-hcv-prevalence-per100,HEPATITIS_HCV_PREVALENCE_PER100:BIH,2025-01-01,2026-09-07T16:03:10Z,restated_at,2026-08-03,,who.gho.hepatitis-hcv-prevalence-per100,raw/who.gho.hepatitis-hcv-prevalence-per100/2026/09/20260907T160310Z-478b9e0e60ae.json.gz,1
who.gho.hepatitis-hcv-prevalence-per100,HEPATITIS_HCV_PREVALENCE_PER100:BIH,2025-01-01,2026-09-07T16:03:10Z,value,0.01,,who.gho.hepatitis-hcv-prevalence-per100,raw/who.gho.hepatitis-hcv-prevalence-per100/2026/09/20260907T160310Z-478b9e0e60ae.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFG,2025-01-01,2026-09-07T16:03:17Z,high,32.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFG,2025-01-01,2026-09-07T16:03:17Z,low,32.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFG,2025-01-01,2026-09-07T16:03:17Z,restated_at,2026-07-31,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFG,2025-01-01,2026-09-07T16:03:17Z,value,32.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFR,2025-01-01,2026-09-07T16:03:17Z,high,98.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFR,2025-01-01,2026-09-07T16:03:17Z,low,76.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFR,2025-01-01,2026-09-07T16:03:17Z,restated_at,2026-07-31,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AFR,2025-01-01,2026-09-07T16:03:17Z,value,90.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AGO,2025-01-01,2026-09-07T16:03:17Z,high,98.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AGO,2025-01-01,2026-09-07T16:03:17Z,low,67.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AGO,2025-01-01,2026-09-07T16:03:17Z,restated_at,2026-07-31,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AGO,2025-01-01,2026-09-07T16:03:17Z,value,81.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AMR,2025-01-01,2026-09-07T16:03:17Z,high,85.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AMR,2025-01-01,2026-09-07T16:03:17Z,low,62.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AMR,2025-01-01,2026-09-07T16:03:17Z,restated_at,2026-07-31,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:AMR,2025-01-01,2026-09-07T16:03:17Z,value,72.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:ARM,2025-01-01,2026-09-07T16:03:17Z,high,92.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
who.gho.hiv-0000000020,HIV_0000000020:ARM,2025-01-01,2026-09-07T16:03:17Z,low,76.0,,who.gho.hiv-0000000020,raw/who.gho.hiv-0000000020/2026/09/20260907T160317Z-774541ab2e8e.json.gz,1
