indicator_code,indicator_name,last_published,days_since,status
HWF_0007,Nursing and midwifery personnel  (number),2026-01-23,241,ok
HWF_0002,Medical doctors (number),2026-01-23,241,ok
HRH_07,Number of traditional birth attendants,,,empty
HRH_06,Number of community health workers,,,empty
HWF_0018,Environmental and Occupational Health Inspectors and Associates  (number),2026-01-23,241,ok
HWF_0014,"Pharmacists  (per 10,000)",2026-03-11,194,ok
HWF_0010,"Dentists (per 10,000)",2026-03-11,194,ok
HWF_0023,Traditional and Complementary Medicine Professionals  (number),2026-01-23,241,ok
AIR_11,Household air pollution attributable deaths,2026-06-15,98,ok
AIR_14,Household air pollution  attributable deaths per 100'000 children under 5 years,,,empty
AIR_17,Household air pollution attributable DALYs (per 100 000 population),,,empty
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2026-06-15,98,ok
HWF_0005,Medical doctors not further defined (number),2026-01-23,241,ok
HRH_25,Pharmaceutical personnel density (per 1000 population),,,empty
HRH_43,Number of licensed qualified anaesthesiologists actively working,2017-02-17,3503,ok
AIR_43,Ambient air pollution attributable DALYs,,,empty
AIR_44,DALYs attributable to ambient air pollution (age-standardized),,,empty
AIR_3_1,Percent of urban inhabitants living in cities covered by PM measurements,,,empty
HRH_45,Biomedical technicians density (per 10 000 population),2018-08-29,2945,ok
AIR_41,Ambient air pollution attributable deaths,2026-06-15,98,ok
HSS_MONITORPROGRESS,Countries that have monitored the progress of their national health policy/strategy/plan regularly,,,empty
MENING_2,Number of suspected meningitis cases reported,2015-04-21,4171,ok
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),2017-04-04,3457,ok
HWF_0003,Generalist medical practitioners (number),2026-01-23,241,ok
FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population pushed below the $3.20 a day poverty line by household health expenditures (millions),2023-05-18,1222,ok
MENING_1,Number of suspected meningitis deaths reported,2015-04-21,4171,ok
MH_10,"Mental health outpatient facilities (per 100,000)",2019-04-25,2706,ok
GB_XPD_RSDV,Research and development (R&amp;D) expenditure as a proportion of GDP,,,empty
MH_11,"Mental health day treatment facilities (per 100,000)",2019-04-25,2706,ok
FINPROTECTION_IMP_NP_310_LEVEL_SH,"Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global)",2023-05-18,1222,ok
GDO_q10x1,National regulator approval of anti-dementia medication,2021-06-25,1914,ok
IHR07,Human resources,,,empty
fullv,Full immunization coverage among one-year-olds (%),,,empty
GDO_q10x2_1AVAIL,Availability of atleast one adult hygiene products for people with dementia,2021-06-25,1914,ok
HWF_0012,Dental Assistants and Therapists (number),2026-01-23,241,ok
HWF_0011,Dentists (number),2026-01-23,241,ok
HWF_0009,Midwifery personnel (number),2026-01-23,241,ok
AIR_18,Household air pollution  attributable DALYs per 100'000 children under 5 years,,,empty
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),2026-01-23,241,ok
IHR03,Surveillance,,,empty
IHR12,Chemical,,,empty
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,2017-06-12,3388,ok
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,,empty
AIR_36,Joint effects of air pollution attributable deaths in children under 5 years,,,empty
IHR09,Points of entry,,,empty
AIR_35,Joint effects of air pollution attributable deaths,2026-06-15,98,ok
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2026-06-15,98,ok
MH_14,"Community residential facilities (per 100,000)",2019-04-25,2706,ok
AIR_46,YLLs attributable to ambient air pollution (age-standardized),,,empty
MH_12,Age-standardized suicide rates (per 100 000 population),2025-01-28,601,ok
AIR_5,Ambient air pollution attributable death rate (per 100 000 population),,,empty
MH_20,"Outpatient visits (per 100,000)",2015-07-07,4094,ok
MH_15,"Beds in community residential facilities (per 100,000)",2019-04-25,2706,ok
MENING_3,Number of meningitis epidemic districts,2015-06-29,4102,ok
AIR_4,Ambient air pollution attributable deaths in children under 5 years,,,empty
MH_19,"Mental hospital admissions (per 100,000)",2015-07-07,4094,ok
MH_21,"Total workforce in mental health sector (per 100,000)",,,empty
AIR_51,Household air pollution attributable death rate (per 100 000 population),,,empty
MH_1,Mental health policy,2013-10-10,4729,ok
AIR_50,"Ambient air pollution attributable deaths (per 100 000 population, age-standardized)",,,empty
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2026-06-15,98,ok
GDO_q11x2x3,Dementia nongovernmental organization staff primarily salaried/volunteer,2021-06-25,1914,ok
MH_17,"Mental hospitals (per 100,000)",2019-04-25,2706,ok
EMFLIMITPOWERDENSITY900,Power density limit at 900 MHz (W/m^2),,,empty
FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large  health expenditures as a share of total expenditure or income,2018-12-07,2845,ok
MH_2,Mental health plan,2013-10-10,4729,ok
MH_8,"Social workers working in mental health sector (per 100,000)",2019-04-25,2706,ok
GDO_q11x2x5,Provision of governmental funding to dementia nongovernmental organization for activities/services,2021-06-25,1914,ok
MH_7,"Nurses working in mental health sector (per 100,000)",2019-04-25,2706,ok
EMFPOWERFREQUENCY,Power frequency (Hz),2018-06-11,3024,ok
FINPROTECTION_CATA_TOT_25_LEVEL_SH,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%)",2023-05-04,1236,ok
MH_6,"Psychiatrists working in mental health sector (per 100,000)",2019-04-25,2706,ok
FINPROTECTION_IMP_NP_190_LEVEL_SH,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),2023-05-18,1222,ok
MORT_100,"Number of deaths in children aged <5 years, by cause",2024-03-25,910,ok
MH_25,Stand-alone policy or plan for mental health,2019-04-25,2706,ok
MH_5,Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%),2019-04-25,2706,ok
HIV_0000000009,Reported number of people receiving antiretroviral therapy,2026-07-31,52,ok
HRH_17,Number of medical assistants,,,empty
MH_24,"Mental health units in general hospitals admissions (per 100,000)",2015-07-07,4094,ok
HRH_16,Number of traditional medicine practitioners,,,empty
HRH_05,Number of pharmaceutical technicians/assistants,,,empty
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022-11-29,1392,ok
MH_23,"Other non-specialized doctors in mental health sector (per 100,000)",,,empty
AIR_63,Household and ambient air pollution attributable DALYs in children under 5 years ('000),,,empty
GDO_q12x2_3,Existence of respite care for dementia carers,2021-06-25,1914,ok
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),2013-10-10,4729,ok
GDO_q10x2_HOSUE,Availability of atleast one housing adjustment for people with dementia,2021-06-25,1914,ok
GDO_q11x2x1,Dementia nongovernmental organization equipped with office,2021-06-25,1914,ok
GDO_q12x2_2,Existence of psycho-social supports for dementia carers,2021-06-25,1914,ok
GDO_q12x2_4,Existence of information on legal rights for dementia carers,2021-06-25,1914,ok
GDO_q12x2x1x1_2PUB,Majority provider of psycho-social supports for dementia carers (Public sector),2021-06-25,1914,ok
GDO_q12x2x1x1_1PUB,Majority provider of dementia carer training and education (Public sector),2021-06-25,1914,ok
GDO_q12x2x1x1_1,"Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1914,ok
AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),,,empty
GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1914,ok
AMR_GI_001,Status of countries enrolled in GLASS,,,empty
GDO_q12x2x1x1_2PRV,Majority provider of psycho-social supports for dementia carers (Private sector),2021-06-25,1914,ok
AMRGLASS_SURVL03,Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites,,,empty
GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1914,ok
GDO_q12x2x1x1_1PRV,Majority provider of dementia carer training and education (Private sector),2021-06-25,1914,ok
HWWS_2,Handwashing with soap after cleaning child's stool (%),2013-06-11,4850,ok
GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector),2021-06-25,1914,ok
GDO_q12x2x1x1_4,"Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1914,ok
IHR02,Coordination,,,empty
IHR06,Risk communication,,,empty
AMRGLASS_COORD01,Functioning national AMR surveillance plan,,,empty
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,,empty
IHR08,Laboratory,,,empty
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),,,empty
LEAD_10,Lead attributable DALYs per 100'000 children under 5 years,2013-06-11,4850,ok
IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,2017-06-12,3388,ok
IHR11,Food safety,,,empty
IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,2017-06-12,3388,ok
IHR13,Radionuclear,,,empty
imr,Infant mortality rate (deaths per 1000 live births),,,empty
IR_ORGANOPHOSPHATE_EXTENT,Percentage of sites for which organophosphate resistance was reported,2017-06-12,3388,ok
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,2017-06-12,3388,ok
AIR_61,Household and ambient air pollution attributable DALYs (per 100 000 capita),,,empty
AIR_8,Ambient air pollution attributable DALYs  in children under 5 years,,,empty
LEAD_2,Percentage of the children under 15 years with blood lead levels above 10ug/dl,2013-06-11,4850,ok
AMR_GI_002,Status of National coordination center establishment,,,empty
AMR_GI_003,Status of National plans to implement and strengthen antimicrobial surveillance,,,empty
GDO_q12x2x1x1_2NGO,Majority provider of psycho-social supports for dementia carers (NGO),2021-06-25,1914,ok
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",2026-06-15,98,ok
AMRGLASS_QA03,EQA provided to local laboratories participating in GLASS,,,empty
HWF_0021,Physiotherapists (number),2026-01-23,241,ok
AMRGLASS_SURVL02,Number of National surveillance sites in each country providing data to GLASS: outpatient facility category,,,empty
AMRGLASS_COORD03,Nomination of National Focal Point (NFP),,,empty
ITU_IDI_RANK,ICT Development Index (IDI) rank,2013-11-21,4687,ok
HWWS_1,Handwashing with soap after using the toilet (%),2013-06-11,4850,ok
HWF_0016,Pharmaceutical Technicians and Assistants  (number),2026-01-23,241,ok
IHR10,Zoonosis,,,empty
HWF_0022,Physiotherapy Technicians and Assistants  (number),2026-01-23,241,ok
IHR01,Legislation,,,empty
IHR04,Response,,,empty
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,2017-06-12,3388,ok
AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years,,,empty
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,2017-06-12,3388,ok
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",2026-06-15,98,ok
AIR_60,Household and ambient air pollution attributable DALYs,2024-10-03,718,ok
FINPROTECTION_IMP_PG_310,"Increase in poverty gap  due to household  health expenditures at the $3.10a day poverty line, in cents of international dollars",,,empty
FINPROTECTION_IMP_NP310_POP,"Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)",2023-05-25,1215,ok
HRH_24,Number of nursing and midwifery personnel,,,empty
FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban)",2023-05-25,1215,ok
fpsmo,Demand for family planning satisfied - modern methods (%),,,empty
GDO_q10x2_TECH,Availability of  atleast one assistive technology for people with dementia,2021-06-25,1914,ok
HRH_20,Number of laboratory health workers,,,empty
HRH_21,Number of dentistry personnel,,,empty
HRH_23,Number of other health workers,,,empty
HRH_22,Number of community and traditional health workers,,,empty
GDO_q12x2x1x1_5PUB,Majority provider of information  on financial benefits/social protection for dementia carers (Public sector),2021-06-25,1914,ok
HRH_28,Dentistry personnel density (per 1000 population),,,empty
HRH_29,Community and traditional health workers density (per 1000 population),,,empty
HRH_40,Biomedical engineers density (per 10 000 population),2018-08-29,2945,ok
HRH_41,Number of licensed qualified surgeons actively working,2017-02-17,3503,ok
GDO_q11x2x2_2,Dementia nongovernmental organization office branches (Local),2021-06-25,1914,ok
GDO_q12x2x1x1_4PUB,Majority provider of information  on legal rights for dementia carers (Public sector),2021-06-25,1914,ok
HRH_42,Number of licensed qualified obstetricians actively working,2017-02-17,3503,ok
HRH_44,Number of biomedical engineers,2018-09-03,2940,ok
GDO_q11x2x2_1,Dementia nongovernmental organization office branches (Sub-national),2021-06-25,1914,ok
GDO_q11x1,Existence of dementia national nongovernmental organization,2021-06-25,1914,ok
GDO_q13x3,Existence of at least one functioning risk reduction campaign,2021-06-25,1914,ok
GDO_q12x2x4x3,Estimated number of dementia carers receiving information on legal rights,2021-06-25,1914,ok
GDO_q12x2x2x3,Estimated number of dementia carers receiving psycho-social supports,2021-06-25,1914,ok
GDO_q13x1x1,Implementation level [national/subnational] of dementia awareness campaign,2021-06-25,1914,ok
GDO_q12x2x3x3,Estimated number of dementia carers receiving respite care,2021-06-25,1914,ok
GDO_q13x1,Existence of at least one functioning dementia awareness campaign,2021-06-25,1914,ok
GDO_q11x2x2_3,Dementia nongovernmental organization office branches (National only),2021-06-25,1914,ok
GDO_q12x1x3,Existence of implementation plan for dementia carer support services,2021-06-25,1914,ok
GDO_q11x2x6,Dementia nongovernmental organization's involvement in policy development,2021-06-25,1914,ok
GDO_q12x2x1x1_4PRV,Majority provider of information on legal rights for dementia carers (Private sector),2021-06-25,1914,ok
GDO_q12x2_5,Existence of financial benefits/social protection for dementia carers,2021-06-25,1914,ok
bcgv,BCG immunization coverage among one-year-olds (%),,,empty
AMRGLASS_QA02,EQA provided for bacterial identification and AST,,,empty
GDO_q12x2x1x1_3NGO,Majority provider of respite care for dementia carers (NGO),2021-06-25,1914,ok
GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1914,ok
LEPTO_YLD100K,Years of healthy life lost to disability (YLDs) (per 100 000 population) due to leptospirosis,,,empty
M_def_1_text_youth,Youth indicator 1 definition,,,empty
GDO_q14x1,Availability of dementia-friendly initiatives that improve accessibility,2021-06-25,1914,ok
GDO_q12x2x1x1_5PRV,Majority provider of information on financial benefits/social protection for dementia carers (Private sector),2021-06-25,1914,ok
LEAD_3,Percentage of the adults (15+ years) with blood lead levels above 5ug/dl,2013-06-11,4850,ok
GDO_q14x2_2,Existence of dementia-friendly initiative to improve accessibility of public transportation,2021-06-25,1914,ok
GDO_q14x2_3,Existence of dementia-friendly initiative for assistance with home modification,2021-06-25,1914,ok
LEAD_5,Lead attributable deaths,2013-06-11,4850,ok
GDO_q12x2x1x3,Estimated number of dementia carers receiving training and education,2021-06-25,1914,ok
GDO_q14x2_4,Existence of dementia-friendly initiative with assistive technology for loss of capacity,2021-06-25,1914,ok
itnwm,Pregnant women sleeping under insecticide-treated nets (%),,,empty
GDO_q14x2_5,Existence of dementia-friendly initiative supporting community places for older people,2021-06-25,1914,ok
LEAD_1,Percentage of the children under 15 years with blood lead levels above 5ug/dl,2013-06-11,4850,ok
LEPTO_YLL,Years of life lost (YLLs) due to leptospirosis,,,empty
LEADCONTROL,Legally-binding controls on lead paint,2024-01-26,969,ok
GDO_q16x1,Routine monitoring of people with dementia,2021-06-25,1914,ok
GDO_q16x1x1_1,Data sources used to routinely monitor people with dementia (Clinical records),2017-11-28,3219,ok
GDO_q15x2_5,Existence of dementia training for community workers,2021-06-25,1914,ok
LEPTO_YLD,Years of healthy life lost to disability (YLDs) due to leptospirosis,,,empty
LEPTO_MORTALITY,Estimated leptospirosis deaths (per 100 000 population),,,empty
M_def_1_prev_adult,Adult indicator 1 rate,,,empty
GDO_q16x1x1_3,Data sources used to routinely monitor people with dementia (Administrative data),2017-11-28,3219,ok
GDO_q16x1x1_4,Data sources used to routinely monitor people with dementia (Facility survey or records),2017-11-28,3219,ok
M_Est_tob_daily,Estimate of daily tobacco use prevalence (%),,,empty
M_Est_tob_daily_crude,"Daily tobacco smoking, crude adjusted",,,empty
M_Group,Monitoring tobacco use and prevention policies,2023-10-17,1070,ok
