indicator_code,indicator_name,last_published,days_since,status
HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),2022-04-04,1616,ok
M_svy_national_adult,,,,empty
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2026-08-05,32,ok
RADON_Q503_1,Reference level for workplaces (Bq/m3),2021-06-04,1920,ok
GOE_Q070,Strategy includes objectives as to how telehealth contributes to UHC,2018-03-28,3084,ok
RADON_Q801,Existence of national radon risk communication strategy,2021-06-04,1920,ok
HEPATITIS_HBV_TREATMENT_ANC_PERCENT,Eligible women attending antenatal care who were treated for HBV,2026-08-03,34,ok
HIV_0000000020,Estimated number of pregnant women living with HIV,2026-07-31,37,ok
AIR_4,,,,empty
IHRSPAR2_C12,Zoonotic diseases,2024-05-14,845,ok
TOBACCO_MPOWER_NTCP,Tobacco MPOWER: National tobacco control programmes (NTCP),2025-07-04,429,ok
NCD_BMI_18A,"Underweight among adults, BMI < 18.5 kg/m2 (age-standardized estimate) (%)",2026-05-27,102,ok
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,2023-12-14,997,ok
NCD_CCS_stroke,Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities,2022-04-25,1595,ok
PRISON_D3_DEATHS_SUICIDE_MRATE,In-prison suicide mortality rate (per 100 000 incarcerated persons per year),2023-01-23,1322,ok
OCC_17,Occupational ergonomic stressors attributable deaths per 100'000 capita,2013-06-11,4835,ok
FOODBORNE_DTH_GE5,,,,empty
RS_196,Estimated number of road traffic deaths,2024-04-15,874,ok
GOE_Q198,Effective standards and best practices for data capture not fully established,2018-03-28,3084,ok
SA_0000001822_ARCHIVED,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",2020-05-27,2293,ok
NHAOOPSTHE,,,,empty
NCD_CCS_coronary,General availability of coronary bypass or stenting in the public health system,2022-04-25,1595,ok
W9_no_obscure_B,Health warnings on other smoked tobacco packaging must not be obscured in any way including by required markings such as tax stamps,2023-12-14,997,ok
NLIS_NU_CA_115,,,,empty
SA_0000001743,"Alcohol-attributable fractions, all-cause deaths (%)",2024-08-13,754,ok
GDO_q9x5_1,"Density of outpatient health centres (per 100,000 population)",2021-03-23,1993,ok
SHS_5,Second-hand smoke attributable DALYs ('000),2013-06-11,4835,ok
SA_0000001531,On-premise sales restrictions on days,2026-07-06,62,ok
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",2026-06-15,83,ok
SUNBEDEXISTSUBNATIONAL,Existence of subnational regulation,2017-06-16,3369,ok
AMRGLASS_SURVL04,,,,empty
GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1899,ok
SA_0000001754,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",2018-08-30,2929,ok
W-MM_Group,Anti-tobacco mass media campaigns,2023-10-17,1055,ok
SCSUD_MEDREG,"Substance use disorders service coverage, medicine registered in the country",2024-09-03,733,ok
GDO_q5x1x2,Implementation level [national/subnational] of dementia care coordination,2021-06-25,1899,ok
SA_0000001686,Exports of wine (grape) in 1000s hectolitres,2013-06-11,4835,ok
WCO_DISTRIBUTION_INTANDLOC_PER100,,,,empty
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,2017-06-12,3373,ok
NCD_DTH_TOT,Total NCD Deaths,2025-03-19,536,ok
SHS_11,Second-hand smoke  attributable DALYs per 100'000 children under 5 years,2013-06-11,4835,ok
SA_0000001511_ARCHIVED,Advertising restrictions in print media,2018-09-27,2901,ok
RS_576,Gross national income per capita (Atlas method),2013-06-11,4835,ok
FINPROTECTION_CATA_CTPFHU_40_HH,"Households with out-of-pocket payments greater than 40% of capacity to pay for health care (food, housing and utilities approach - developed by WHO/Europe) (%, national)",2023-05-31,1194,ok
NCD_CCS_palliative_prim,General availability of palliative care in primary health care in the public health system,2022-04-25,1595,ok
R_Price_premium_estimate,Premium brand of cigarettes - price in currency reported,2022-01-12,1698,ok
Yth_nonsmoked_national,Representation of latest youth prevalence survey (nonsmoked),2023-12-07,1004,ok
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2026-01-23,226,ok
MH_27,Publication year of the policy or plan (latest revision),2019-04-25,2691,ok
GDO_q11x2x3,Dementia nongovernmental organization staff primarily salaried/volunteer,2021-06-25,1899,ok
E23_vending_machines,Ban on tobacco vending machines,2023-10-31,1041,ok
GHED_CHE_pc_PPP_SHA2011,,,,empty
NCD_CCS_PA_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of physical inactivity,2022-04-25,1595,ok
SA_0000001403_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",2023-08-11,1122,ok
RADON_Q501,Existence of national reference level for dwellings and buildings with high public occupancy,2021-06-04,1920,ok
GDO_q11x2x2_2,Dementia nongovernmental organization office branches (Local),2021-06-25,1899,ok
NCD_HYP_DIAGNOSIS_A,"Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, age-standardized (%)",2025-10-30,311,ok
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",2024-06-04,824,ok
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2025-11-11,299,ok
LEPTO_YLL,,,,empty
E8_direct_ad_fines,,,,empty
RSUD_210,Voluntary treatment for people with alcohol use disorders in the criminal justice system,2017-08-28,3296,ok
NCD_CCS_riskstrat,Availability of cardiovascular risk stratification in 50% or more primary health care facilities,2022-04-25,1595,ok
R_Price_mp_estimate_usd,Most sold brand of cigarettes - price in US$ at official exchange rates,2022-01-12,1698,ok
RADON_Q803,Inclusion of radon in national cancer control strategy,2021-06-04,1920,ok
FOODBORNE_DALY_TOTAL,,,,empty
GASP_ISOLATESTESTED_NUMBER,Antimicrobial resistance or decreased susceptibiity (DS/R) to antimicrobials testing  in Neisseria gonorrhoea isolates (WHO-GASP) (number),2026-01-05,244,ok
NCD_CCS_PA_POL_WORK,Existence of policy promoting physical activity: workplace initiatives,2022-05-31,1559,ok
STI_GONORRHEA_CASES_NUM,Reported cases of gonorrhea (number),2025-03-20,535,ok
HRH_46,Number of biomedical technicians,2018-08-29,2930,ok
NCD_CCS_PA_GUIDELINES_OLDADULTS,Existence of national guidelines for physical activity for older adults,2022-05-31,1559,ok
GOE_Q139,Insitutional educational policy does not include eLearning as an approach to teaching health sciences,2018-03-28,3084,ok
SA_0000001835,,,,empty
NCD_CCS_breastcancerscreening,Existence of national screening program for breast cancer,2022-04-25,1595,ok
FOODBORNE_YLL_LT5,,,,empty
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2025-07-29,404,ok
SA_0000001832,"Alcohol-attributable all-cause deaths per 100,000, age standardized",2024-08-14,753,ok
GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1899,ok
GDO_q12x2x1x1_4PUB,Majority provider of information  on legal rights for dementia carers (Public sector),2021-06-25,1899,ok
FINPROTECTION_IMP_PG_190,,,,empty
SA_0000001828,"Regional prevalence, AAFs ,all-cause deaths (%)",2024-08-13,754,ok
NCD_CCS_OVWT_SVY,"Has conducted a recent, national adult risk factor survey covering overweight and obesity",2022-04-25,1595,ok
GOE_Q007,Public funding for eHealth,2018-03-28,3084,ok
pnchome3,,,,empty
SW_PSE_NUM,Sex workers: Population size estimate (number),2025-03-20,535,ok
SA_0000001766_ARCHIVED,Legal obligation for schools to interact with parents regarding education and well-being,2018-09-27,2901,ok
RADON_Q402,Existence of national radon regulations,2021-06-04,1920,ok
SA_0000001730,Price measures,2026-07-06,62,ok
FOODBORNE_DALY_LT5,,,,empty
GDO_q8x1,Existence of community-based health or social care services for dementia,2021-06-25,1899,ok
NCD_CCS_PBCR,Existence of population-based cancer registry,2022-04-25,1595,ok
FOODBORNE_YLL_100K_GE5,,,,empty
WHS6_519,,,,empty
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2025-12-19,261,ok
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,2024-02-09,940,ok
GDO_q9x1_4,"Geriatric-specific hospital beds (per 10,000 population)",2021-03-23,1993,ok
WSH_4,"Water, sanitation and hygiene  attributable deaths per 100'000 children under 5 years",2013-06-11,4835,ok
RSUD_410,Reported treatment coverage for substance dependence,2018-03-08,3104,ok
SA_0000001553,Restrictions on alcohol use in public places,2018-09-04,2924,ok
NTD_LEPR8,Leprosy - Number of new leprosy cases among children (less than 15 years of age),2025-09-08,363,ok
NCD_CCS_TEL_HYDRO_COMBO,General availability of Fixed dose combination avail (telmisartan + hydrochlorothiazide) in the public health sector,2022-04-25,1595,ok
NTD_LEPR3,Leprosy - Number of cases registered for treatment,2025-09-08,363,ok
IHRSPAR2_C09,Infection prevention and control (IPC),2024-05-14,845,ok
WHS6_100,,,,empty
GDO_q8x4_6,"Majority provider of social and financial protection for dementia [public, private]",2021-06-25,1899,ok
RADON_Q703,Financial support provided for mitigation (existing dwellings),2021-06-04,1920,ok
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2025-11-11,299,ok
GOE_Q119_1,Reducing cost of delivering content,2018-03-28,3084,ok
RSUD_670,Treatment programmes for women with drug use disorders,2017-09-06,3287,ok
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,2017-09-06,3287,ok
W11_outside_pack_A,Do health warnings appear on each cigarette package and any outside packaging and labelling used in the retail sale?,2023-12-14,997,ok
RSUD_730,Open access interventions for drugs,2017-09-06,3287,ok
TAXBEV_PRICE,Beverage price,2025-12-16,264,ok
HEP_TEST_TREAT_PCT_VOLTRON,,,,empty
M_svy_national_youth,,,,empty
TAXBEV_VATSPECIAL_LOHI,Special VAT is lower or higher than standard VAT,2025-12-16,264,ok
GDO_q18x2x1_1,"Total expenditure on dementia research (local currency, self-report)",2021-06-25,1899,ok
NCD_CCS_BreastCancer,General availability of breast cancer screening (by palpation or mammogram) at the primary health care level,2015-06-01,4115,ok
NCD_CCS_Aspirin,General availability of aspirin (100 mg) in the public health sector,2022-04-25,1595,ok
NCD_CCS_DIET_AWARE,Implementation of a nutrition public awareness program,2022-04-25,1595,ok
PRISON_B17_INVOLVEMENT,In-prison patient involvement in healthcare planning and reform,2023-01-23,1322,ok
SA_0000001840,"Alcohol, heavy continuous drinkers, drinkers only, past year (%)",2025-05-23,471,ok
SE_PRM_RDNG,Proportion of children at the end of primary achieving at least a minimum proficiency level in reading (%),2019-04-09,2707,ok
FOODBORNE_YLL_CASE_GE5,,,,empty
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),2016-03-09,3833,ok
TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,"Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics",2026-02-25,193,ok
GDO_q5x1x3,Presence of formal agreement/joint plan for dementia care coordination,2021-06-25,1899,ok
WSH_8,"Water, sanitation and hygiene  attributable DALYs per 100'000 children under 5 years",2013-06-11,4835,ok
FINPROTECTION_IMP_NPRELPL_POP,"Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",2023-05-25,1200,ok
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),2026-01-23,226,ok
RHR_NPSV,Proportion of women and girls aged 15 years and older who have been subjected to sexual violence by someone other than a partner in their lifetime since age 15 (%),2026-05-01,128,ok
GDO_q9x4_2,"Adult day centre places (per 10,000 population)",2021-03-23,1993,ok
GDO_q2x1,Existence of dementia national plan,2021-06-25,1899,ok
SA_0000001767_ARCHIVED,Legislation on alcohol testing at workplaces,2018-09-27,2901,ok
W16_number_hw_B,How many health warnings are approved by the law for other smoked tobacco packaging?,2023-12-14,997,ok
W23_emissions_front_back_C,Smokeless tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,2023-12-13,998,ok
SA_0000001810,National system of data collection based on health service delivery,2018-09-05,2923,ok
GDO_q5x1x1_4,Identification of different sectors in dementia care coordination (Employment),2021-06-25,1899,ok
NTD_BU_CONF,Number of confirmed cases of Buruli ulcer reported,2025-10-30,311,ok
NCD_CCS_TEL_AML_COMBO,General availability of Fixed dose combination avail (telmisartan + amlodipine) in the public health sector,2022-04-25,1595,ok
HAZARD_YLL_LT5,,,,empty
RSUD_900,Treatment programmes for children and adolescents with drug use disorders,2017-08-28,3296,ok
E22_subnational_exists,"Subnational bans on tobacco advertising, promotion and sponsorship",2015-08-19,4036,ok
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,2013-06-11,4835,ok
SA_0000001789,Alcohol-related crimes (% of all crimes),2018-08-30,2929,ok
GOE_Q013,Proportion of private funding,2018-03-28,3084,ok
NCD_SENSORYFUNCTION_VISION_EREC,Vision and eyecare: Effective refractive error coverage (eREC) (%),2025-01-10,604,ok
VIOLENCE_BULLIED,,,,empty
SHS_4,Second-hand smoke attributable deaths,2013-06-11,4835,ok
RADON_Q702,Mandatory mitigation measures if legal value is exceeded (existing buildings),2021-06-04,1920,ok
IHR13,,,,empty
O_Cytisine_ins,Cytisine - cost covered,2023-10-31,1041,ok
GOE_Q103,eLearning is used in pre-service education to teach health sciences students,2018-03-28,3084,ok
O_NRT_sold,Nicotine replacement therapy - legally sold,2023-10-31,1041,ok
SA_0000001721_ARCHIVED,Importance of measures for enhancing compliance with age limits,2018-09-27,2901,ok
ASSISTIVETECH_PAYERSAT,Funding for assistive products (%),2022-05-10,1580,ok
CC_5,Climate change attributable deaths ('000) in children under 5 years,2013-06-11,4835,ok
UV_4,UV radiation attributable deaths per 100'000 capita,2013-06-11,4835,ok
PRISON_B9_STAFF_RATIO,Healthcare staff in prisons (FTEs per 1000 prisoners),2023-01-23,1322,ok
CARE_SOURCE,Care-seeking by type of patient and source of care (%),2023-08-10,1123,ok
SA_0000001517_ARCHIVED,Restrictions on product placement on cable television,2018-09-27,2901,ok
WHS2_165,,,,empty
P_comprehensive_subnat,Subnational smoking bans - at least one jurisdiction has a comprehensive ban in place,2020-05-28,2292,ok
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2024-06-20,808,ok
W24_exp_date_C,Smokeless tobacco packaging and labelling must not display expiry dates,2023-12-13,998,ok
TB_ret_oth,Retreatment cases: other,2013-10-07,4717,ok
ODA_3,"Donor disbursements (Million, constant 2009 US$)",2013-06-11,4835,ok
TB_drs_rr_prct,Prevalence of rifampicin resistance among pulmonary TB cases.,2024-05-06,853,ok
SA_0000001720,Restrictions on product placement in films/movies,2018-09-03,2925,ok
SA_0000001770_ARCHIVED,Regular reports from national monitoring systems,2018-09-27,2901,ok
SA_0000001690,"Age-standardized death rates, cerebrovascular disease, per 100,000",2013-06-11,4835,ok
GDO_q13x3x1,Implementation level [national/subnational] of dementia risk reduction campaign,2021-06-25,1899,ok
WHS2_126,Distribution of years of life lost by major cause group,2014-08-08,4412,ok
NCD_CCS_BowelCancer,General availability of colon cancer screening at the primary health care level,2015-06-01,4115,ok
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product ,2023-12-14,997,ok
VACCINECOVERAGE_MENA_C,Meningococcal A conjugate (MENGA) vaccine immunization coverage (%) (WUENIC),2026-07-14,54,ok
GDO_q18x2x3_3,"Total expenditure on dementia implementation research (local currency, self-report)",2021-06-25,1899,ok
HIV_0000000029,,,,empty
ORALHEALTH_AVAILABILITY_URGENTCARE,Oral health: Urgent treatment for providing emergency oral care and pain relief,2023-04-17,1238,ok
TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,Tobacco Raise taxes: Inflation-adjusted prices for most sold brand of cigarettes,2025-08-18,384,ok
M_def_1_prev_adult,,,,empty
CM_04,Number of deaths among children ages 5 to 9 years,2026-08-05,32,ok
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2026-08-05,32,ok
Yth_nonsmoked_age_grp,Age range of latest youth prevalence survey (nonsmoked),2023-12-07,1004,ok
SA_0000001541,Restrictions on sales promotion from owners of pubs and bars (alcohol for free),2018-09-04,2924,ok
CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2022-01-26,1684,ok
WHS10_1,,,,empty
RS_208,Attribution of road traffic deaths to alcohol (%),2020-06-05,2284,ok
SA_0000001745,"Alcohol, regional prevalence of alcohol use disorders (%)",2018-09-28,2900,ok
O_Avail_community,Treatment for tobacco dependence available in the community,2023-10-17,1055,ok
LEAD_1,Percentage of the children under 15 years with blood lead levels above 5ug/dl,2013-06-11,4835,ok
GDO_q6x1_3,"Number of geriatricians or psychogeriatricians (per 100,000)",2017-12-08,3194,ok
GDO_q9x3_3,"Dementia-specific hospice care beds (per 10,000 population)",2021-03-23,1993,ok
SA_0000001544,Licence required for production,2026-07-06,62,ok
PWID_PSE_NUM,People who inject drugs: Population size estimates (number),2025-07-22,411,ok
SCSUD_STS,"Substance use disorders service coverage, specialized treatment services",2024-09-03,733,ok
CM_02,Number of infant deaths,2026-08-04,33,ok
ORALHEALTH_HWF_DENTALPROSTHETICTECH_10K,Dental prosthetic technicians (per 10 000 population),2023-04-20,1235,ok
OCC_8,Occupational airborne particulates attributable DALYs per 100'000 capita,2013-06-11,4835,ok
RSUD_140,Ministry/office that takes primary responsibility for treatment of substance use disorders,2017-08-28,3296,ok
NCD_CCS_PA_SVY,"Has conducted a recent, national adult risk factor survey covering physical inactivity",2022-04-25,1595,ok
TB_conf_mdr_tx_pct,Confirmed cases of MDR-TB started treatment for MDR-TB (%),2013-10-10,4714,ok
SA_0000001825,"Regional prevalence, AAFs (15+), liver cirrhosis deaths (%)",2024-08-13,754,ok
SA_0000001811,Report with epidemiological data on lcohol use and AUDs,2018-09-05,2923,ok
TOBACCO_MPOWER_P1_SMOKEFREEPLACES,Tobacco MPOWER Protect people: P1 smoke-free places (national legislation),2025-07-25,408,ok
TRAD_MED_HWF_DIST,,,,empty
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2026-07-15,53,ok
WHS2_167,,,,empty
R_imp_duty_estimate,Most sold brand of cigarettes - taxes as a % of price - import duties,2021-12-15,1726,ok
SA_0000001740,Alcohol-attributable Years of Life Lost (YLL) score,2018-09-06,2922,ok
NCD_CCS_NCDGuide,Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2022-04-25,1595,ok
vbcg,,,,empty
SA_0000001445,"Age-standardized death rates, liver cancer, per 100,000",2013-06-11,4835,ok
W11_outside_pack_C,Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?,2023-12-13,998,ok
HRH_09,,,,empty
RADON_Q301,Existence of national radon survey(s),2021-06-04,1920,ok
SA_0000001551_ARCHIVED,Value-added tax (VAT) on alcohol (%),2018-09-27,2901,ok
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2026-06-15,83,ok
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,2022-12-12,1364,ok
IMMUNIZATION_VACCINATIONCARDSSEEN,Proportion of vaccination cards seen (%),2024-02-21,928,ok
TB_notif_num_newrel_ep,Number of people diagnosed with new episode of pulmonary TB who have extrapulmonary TB.,2024-05-06,853,ok
SA_0000001518_ARCHIVED,Age limits on-premise service,2018-09-27,2901,ok
GASPTICIP,Number of isolates tested for ciprofloxacin,2024-02-09,940,ok
RSUD_75,Funding method for substance use disorder prevention,2013-06-11,4835,ok
SA_0000001787,"13-15-years old first drink before age 14, (%)",2018-10-25,2873,ok
