indicator_code,indicator_name,last_published,days_since,status
TAXBEV_IMPORTDUTIES,Import duties on beverages (%),2025-12-16,264,ok
PRISON_D4_HEPC_DIAG_TOT,In-prison Hepatitis C diagnosis (number of diagnoses),2023-01-23,1322,ok
R_VAT_average,Average - taxes as a % of cigarette price - value added tax,2015-09-04,4020,ok
SA_0000001742,"Alcohol-attributable fractions (15+), road traffic crash deaths (%)",2024-08-13,754,ok
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2024-09-09,727,ok
PRISON_D4_HEPB_DIAG_TOT,In-prison Hepatitis B diagnosis (number of diagnoses),2023-01-23,1322,ok
OHS_POLICYSTATUS,Existence of national policy instruments for occupational health and safety for health workers,2024-06-12,816,ok
W8_princ_langs_B,Are the health warnings on other smoked tobacco packaging written in the principal language(s) of the country?,2023-12-14,997,ok
GOE_Q138,Lack of suitable courses available,2018-03-28,3084,ok
FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions),2023-05-18,1207,ok
GOE_Q137,Lack of demand for eLearning programmes,2018-03-28,3084,ok
HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%),2026-08-03,34,ok
WHS7_105,,,,empty
R_Total_tax,Taxes as a % of price: total tax,2024-02-22,927,ok
GDO_q4x2_5,Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia,2021-06-25,1899,ok
RSUD_50,Timeframe of opioid agonist treatment,2013-06-11,4835,ok
E_compl_e5,Compliance with ban on billboard and outdoor advertising (score),2023-10-31,1041,ok
HAZARD_DALY_TOTAL,,,,empty
PRISON_D4_MDRTB_DIAG_TOT,In-prison MDR-TB diagnosis (number of diagnoses),2023-01-23,1322,ok
GDO_q17x1,Existence of a current dementia research plan/programme,2021-06-25,1899,ok
TOBACCO_MPOWER_M4_PREVALENCE,"Tobacco Monitor: school-based national surveys, smokeless tobacco or e-cigarettes, prevalence",2026-02-04,214,ok
GDO_q9x4_3,"Dementia-specific adult day centre places (per 10,000 population)",2021-03-23,1993,ok
TOTENV_9,Total environment attributable DALYs ('000) in children under 5 years,2013-06-11,4835,ok
SA_0000001695,"Cautions and arrests for public drunkenness, per 100,000 population",2018-08-30,2929,ok
GHE_YLLNUM,Years of life lost from mortality (YLLs),2014-07-04,4447,ok
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,2017-06-12,3373,ok
P15_complaints,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS,2023-11-01,1040,ok
GDO_q35,Estimated population-based prevalence of depression,2018-02-27,3113,ok
NCD_CCS_bone_marrow,General availability of bone marrow transplantation in the public health system,2022-04-25,1595,ok
RSUD_43,Open access services for substance use disorders,2013-06-11,4835,ok
GDO_q8x3_1,"Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1899,ok
Camp_airtime,,,,empty
RADON_Q704,Authorization/accreditation required for prevention/mitigation service providers,2021-06-04,1920,ok
W13_ind_liability_A,Health warnings on cigarette packaging do not remove or diminish the liability of the tobacco industry,2023-12-14,997,ok
SA_0000001735_ARCHIVED,Alcohol content displayed on containers,2018-09-27,2901,ok
GDO_q8x3_3,"Accessibility of psychosocial and rehabilitation services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1899,ok
SA_0000001700,Consumer information on alcohol and health at points of sale,2013-06-11,4835,ok
GDO_q8x5_5,Estimated number of people receiving palliative and end-of-life care services in community for dementia,2021-06-25,1899,ok
TB_tot_newrel,Tuberculosis - new and relapse cases,2013-06-11,4835,ok
M4_youth_recent,Most recent school-based survey among adolescents was recent (in the past 5 years),2023-11-14,1027,ok
R_Other_estimate,Most sold brand of cigarettes - taxes as a % of price - other taxes,2021-12-15,1726,ok
SA_0000001788_ARCHIVED,"Alcohol-related road traffic crashes with fatalities, per 100,000  population",2018-09-27,2901,ok
GOE_Q011,Strategy implementation funding available for eHealth,2018-03-28,3084,ok
SA_0000001518,Age limits on-premise service,2026-07-06,62,ok
RSUD_34,Sector for inpatient detoxification of drug use disorders,2013-06-11,4835,ok
DEVICES14,Use of nomenclature system,2023-06-20,1174,ok
ORALHEALTH_UHC_PREVENTIVE,Oral health interventions as part of health benefit packages: Routine and preventive oral health care,2023-04-17,1238,ok
SA_0000001749,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",2015-12-14,3919,ok
SA_0000001417_ARCHIVED,"Alcohol, patterns of drinking score",2018-09-27,2901,ok
PRISON_F1_DRUGUSERS_TOT,"In-prison people who use/have used drugs (number of prisoners, in the last 12 months)",2023-01-23,1322,ok
WSH_20,"Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene",2022-11-03,1403,ok
IHR04,,,,empty
NCD_CCS_BP_TARGET,Existence of a national target on blood pressure / hypertension,2022-04-25,1595,ok
SA_0000001405_ARCHIVED,"Alcohol, tourist consumption (in litres of pure alcohol)",2018-09-27,2901,ok
SA_0000001716,Counselling to pregnant women with alcohol problems,2013-06-11,4835,ok
DEVICES07,Types of lists recommending health technology for high burden diseases,2016-03-01,3841,ok
W14_harm_effects_B,Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health?,2023-12-14,997,ok
TOB_R_PRICE,Retail price for tobacco and nicotine products,2024-03-06,914,ok
ASSISTIVETECH_Q09,Existence of regulations/standards/guidelines/protocols on assistive technology,2021-12-10,1731,ok
SRH_ABORTION_RATE,Abortion rate (model-estimated),2023-04-26,1229,ok
HRH_02,,,,empty
TOBACCO_0000000361,,,,empty
GOE_Q158,Lack of demand by health professionals and patients,2018-03-28,3084,ok
WCO_TEAMCOMPOSITION_NUM,,,,empty
bmi30wm,,,,empty
SA_0000001516_ARCHIVED,Restrictions on product placement on national television,2018-09-27,2901,ok
WCO_CSSPRIORITIES_GROUP_PER100,,,,empty
WCO_CSSPRIORITIES,,,,empty
WHS7_143,,,,empty
WHS6_517,,,,empty
SA_0000001695_ARCHIVED,"Cautions and arrests for public drunkenness, per 100,000 population",2018-09-27,2901,ok
RSUD_69,Pharmacotherapy used for the management of benzodiazepine withdrawal,2013-06-11,4835,ok
W1_HW_law_C,Law mandates that health warnings appear on smokeless tobacco packages,2023-12-13,998,ok
WHS4_154,Antenatal care coverage - at least four visits (%),2025-09-26,345,ok
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2025-10-29,312,ok
